"","days","1","2","3","4","5"
"461",33581,1113.366093,639.004033,538.316595,637.901511,669.834461
"462",33654,0,0,0,0,0
"463",33727,0,0,0,0,0
"464",33800,0,0,0,0,0
"465",33873,0,0,0,0,0
"466",33946,1113.366093,639.004033,538.316595,637.901511,669.834461
"467",34019,0,0,0,0,0
"468",34092,0,0,0,0,0
"469",34165,0,0,0,0,0
"470",34238,0,0,0,0,0
"471",34311,1113.366093,639.004033,538.316595,637.901511,669.834461
"472",34384,0,0,0,0,0
"473",34457,0,0,0,0,0
"474",34530,0,0,0,0,0
"475",34603,0,0,0,0,0
"476",34676,1113.366093,639.004033,538.316595,637.901511,669.834461
"477",34749,0,0,0,0,0
"478",34822,0,0,0,0,0
"479",34895,0,0,0,0,0
"480",34968,0,0,0,0,0
"481",35041,1113.366093,639.004033,538.316595,637.901511,669.834461
"482",35114,0,0,0,0,0
"483",35187,0,0,0,0,0
"484",35260,0,0,0,0,0
"485",35333,0,0,0,0,0
"486",35406,1113.366093,639.004033,538.316595,637.901511,669.834461
"487",35479,0,0,0,0,0
"488",35552,0,0,0,0,0
"489",35625,0,0,0,0,0
"490",35698,0,0,0,0,0
"491",35771,1113.366093,639.004033,538.316595,637.901511,669.834461
"492",35844,0,0,0,0,0
"493",35917,0,0,0,0,0
"494",35990,0,0,0,0,0
"495",36063,0,0,0,0,0
"496",36136,1113.366093,639.004033,538.316595,637.901511,669.834461
"497",36209,0,0,0,0,0
"498",36282,0,0,0,0,0
"499",36355,0,0,0,0,0
"500",36428,0,0,0,0,0
