"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"218",15842,1145.62220087101,1145.62446312586,1059.29503641244,1059.31116185253,1151.25815592577,1151.26583730846,1188.04441647738,1188.05381856831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",15915,1145.62408680926,1145.62604844447,1059.29733289989,1059.3127719882,1151.26007423308,1151.26742807522,1188.04799108315,1188.05703768964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",15988,1145.62589164618,1145.62756558937,1059.29953063111,1059.31431288208,1151.26191004709,1151.26895043396,1188.05141196433,1188.06011638858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",16061,1145.6276188694,1145.62901749223,1059.30163385293,1059.31578751188,1151.26366691529,1151.27040732646,1188.05468573195,1188.06306079178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",16134,1145.62927181655,1145.63040695867,1059.30364662954,1059.31719872723,1151.26534823259,1151.27180156796,1188.05781871271,1188.06587675853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",16207,1145.63085368173,1145.63173667364,1059.30557285038,1059.31854925522,1151.26695724792,1151.27313585266,1188.06081696121,1188.0685698924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",16280,1145.6323675217,1145.63300920667,1059.30741623763,1059.31984170566,1151.26849707049,1151.27441275889,1188.06368627169,1188.07114555248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",16353,1145.63381626176,1145.63422701674,1059.30918035338,1059.32107857613,1151.26997067582,1151.27563475411,1188.06643218916,1188.07360886396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",16426,1145.6352027014,1145.63539245712,1059.31086860657,1059.32226225678,1151.27138091144,1151.27680419966,1188.06906002017,1188.0759647284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",16499,1145.63652951975,1145.63650777987,1059.31248425952,1059.32339503499,1151.27273050247,1151.27792335535,1188.07157484305,1188.07821783347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",16572,1145.6377992807,1145.63757514021,1059.31403043427,1059.32447909977,1151.27402205681,1151.2789943838,1188.07398151775,1188.08037266228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",16645,1145.63901443791,1145.63859660067,1059.31551011862,1059.32551654599,1151.27525807022,1151.28001935463,1188.07628469518,1188.08243350232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
