"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"298",21682,2715935.33839209,1125737.16840457,2091418.15126288,448302.828516176,2633447.41624798,950132.960903893,2483792.89334067,289378.214265182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",21755,2719421.40473599,1128860.25706089,2098667.69215316,449259.946002896,2642017.26261134,952682.384963638,2492720.61967487,289533.025991565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",21828,2719527.70068522,1130490.33443576,2105359.85883792,449525.350323532,2649439.84827714,953915.343600427,2500766.97003846,289314.315990734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",21901,2728522.11907254,1133198.40386123,2113054.31417552,450632.231415328,2658494.82805001,956189.539633917,2511773.80964073,290427.395415913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",21974,2750931.05946294,1139598.03413002,2122545.72877273,453741.430959686,2670145.21235629,961785.555210719,2523982.38124824,293215.429964724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",22047,2762281.03123518,1144949.63505051,2130786.29926044,455934.795451049,2679831.82637843,966348.136124048,2532831.33863711,294289.150863859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",22120,2765777.07690878,1148079.80665283,2138036.0363271,456892.606771196,2688401.66952431,968898.599869626,2541760.6873101,294443.958778869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",22193,2765886.53736876,1149707.33276738,2144727.55337985,457158.223421723,2695824.23398656,970130.435386162,2549808.77770047,294226.502687081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",22266,2774876.62972772,1152415.5175805,2152422.07749243,458265.283288666,2704879.21282037,972404.893824375,2560817.2264109,295340.430189639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",22339,2797281.58624806,1158813.76011727,2161912.79648611,461374.389822334,2716529.59740864,978001.027436907,2573027.3653749,298128.566077424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",22412,2808629.88505382,1164165.65707074,2170153.20994207,463566.651267741,2726216.21233353,982563.530956315,2581877.7696319,299202.391490093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",22485,2812115.91202242,1167296.95491064,2177403.02632072,464523.92328585,2734786.05761803,985113.774736585,2590808.57174436,299357.269269129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",22558,2812222.1533787,1168923.11642243,2184095.40288361,464789.440810108,2742208.60485996,986345.198050377,2598858.25747805,299139.963440823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",22631,2821216.25325109,1171632.67706762,2191790.01757221,465896.388010457,2751263.58231408,988618.978522761,2609868.13163224,300253.92973283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
