"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"73",5257,1462.02459488396,1479.86571530226,1340.0884297209,1381.44685142432,1455.91833301504,1481.24326223769,1423.254549864,1487.20419130346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",5330,1467.67425595788,1485.16814098647,1346.1524862764,1386.73329900989,1461.66525912054,1486.49754417828,1430.31365797748,1493.58851477103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",5403,1473.21398715121,1490.36739179106,1352.09839727374,1391.91416237703,1467.30036146666,1491.64956479131,1437.23115611021,1499.82066570672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",5476,1478.64592748178,1495.46547559113,1357.92848238081,1396.99175821508,1472.82581618768,1496.70131805825,1444.01012683291,1505.90485501288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",5549,1483.97217434028,1500.46436112671,1363.64501328924,1401.96833286607,1478.24375701515,1501.65475844739,1450.65356758516,1511.84515575263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",5622,1489.19478430203,1505.36597877779,1369.25021503554,1406.8460661284,1483.55627611509,1506.51180180508,1457.16439426538,1517.64550833216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",5695,1494.31577392171,1510.17222132117,1374.74626724357,1411.62707475186,1488.76542490659,1511.27432620811,1463.54544460244,1523.30972547044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",5768,1499.33712051347,1514.88494467281,1380.13530529725,1416.31341565269,1493.87321486243,1515.94417278103,1469.79948132432,1528.84149696546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",5841,1504.26076291548,1519.50596859934,1385.41942145094,1420.90708887442,1498.88161829251,1520.52314648529,1475.92919513853,1534.24439426552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",5914,1509.0886022381,1524.037077422,1390.60066588419,1425.4100403181,1503.79256911085,1525.01301688013,1481.93720753752,1539.52187485428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",5987,1513.82250259918,1528.48002074872,1395.6810477066,1429.82416426284,1508.60796358656,1529.4155188594,1487.82607344167,1544.67728645722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
